code,total,ninni_zahyou,kokyo_zahyou,special_chiban
01101,64703,6973,55955,1775
01102,141275,204,139928,1143
01103,112496,26496,85000,1000
01104,77736,31741,45573,422
01105,66079,0,65460,619
01106,125512,0,123918,1594
01107,84888,42524,41448,916
01108,38961,8282,30299,380
01109,69599,19005,49757,837
01110,65130,0,64366,764
01202,225760,42459,175740,7561
01203,124669,10876,109704,4089
01204,320563,43484,264916,12163
01205,76271,15361,57984,2926
01206,182595,89078,80827,12690
01207,158609,17943,135940,4726
01208,183303,7599,167784,7920
01209,13941,1476,11209,1256
01210,141018,4888,126733,9397
01211,75287,0,71972,3315
01212,32750,8467,22237,2046
01213,132381,35282,96287,812
01214,60998,5139,50811,5048
01215,54205,1345,49322,3538
01216,38907,3935,32791,2181
01217,91095,14621,74065,2409
01218,18119,2087,14781,1251
01219,52255,3722,44407,4126
01220,86033,8678,72972,4383
01221,73547,12971,56705,3871
01222,19404,0,18510,894
01223,37794,0,33750,4044
01224,91590,7700,81641,2249
01225,58863,1134,54784,2945
01226,25117,12871,10997,1249
01227,4515,0,4280,235
01228,83577,1387,77382,4808
01229,63158,39809,20490,2859
01230,49563,6274,41187,2102
01231,54799,1688,50485,2626
01233,90343,5028,79730,5585
01234,73145,1376,70745,1024
01235,101879,8371,86670,6838
01236,74041,1495,68218,4328
01303,51422,1086,46618,3718
01304,12911,843,10508,1560
01331,36336,0,31499,4837
01332,19915,31,18151,1733
01333,21071,403,19730,938
01334,22058,212,20672,1174
01337,55882,18,53703,2161
01343,17348,0,16979,369
01345,58965,48449,8513,2003
01346,64506,417,57970,6119
01347,31919,1789,27100,3030
01361,24886,21,23190,1675
01362,32778,1095,28960,2723
01363,33771,593,31239,1939
01364,20071,0,18587,1484
01367,13353,10508,548,2297
01370,39876,5448,32311,2117
01371,58247,699,50762,6786
01391,17957,0,16326,1631
01392,20435,11,19165,1259
01393,33341,2206,28730,2405
01394,46993,5191,38529,3273
01395,44173,1149,36414,6610
01396,29714,0,27058,2656
01397,21640,0,20542,1098
01398,32777,0,30842,1935
01399,33099,0,31331,1768
01400,49650,3549,42114,3987
01401,48336,6687,37887,3762
01402,17106,3805,12119,1182
01403,9432,4188,3752,1492
01404,8300,5901,964,1435
01405,22243,0,19308,2935
01406,12973,1633,9782,1558
01407,21381,0,19758,1623
01408,51330,0,49428,1902
01409,15644,0,14806,838
01423,20182,0,17927,2255
01424,13131,333,11799,999
01425,2823,133,2498,192
01427,26467,0,25068,1399
01428,48466,0,45208,3258
01429,52849,1556,48926,2367
01430,20562,490,18347,1725
01431,19891,1622,16915,1354
01432,46081,5292,36190,4599
01433,15775,33,14555,1187
01434,13797,43,13160,594
01436,24242,48,21933,2261
01437,22278,0,21666,612
01438,28259,0,26743,1516
01472,21952,895,19743,1314
01452,36400,1024,32626,2750
01453,27983,885,25908,1190
01454,24832,126,23683,1023
01455,17327,168,16251,908
01456,17110,19,16070,1021
01457,19219,291,18166,762
01458,19826,5732,13484,610
01459,67194,4184,60534,2476
01460,34641,896,30925,2820
01461,24338,3434,18783,2121
01462,15172,2529,9991,2652
01463,11096,0,9321,1775
01464,29843,0,28169,1674
01465,24968,562,23138,1268
01468,20955,0,20551,404
01469,24728,0,23255,1473
01470,5084,0,4516,568
01471,13833,41,13068,724
01481,21677,0,20117,1560
01482,28987,16,26532,2439
01483,19789,0,18277,1512
01484,23597,1371,20679,1547
01485,13918,0,11867,2051
01486,18876,0,16909,1967
01487,23165,27,20326,2812
01520,17868,11,15773,2084
01511,14307,1119,11180,2008
01512,19101,62,17507,1532
01513,16880,0,15550,1330
01514,50567,193,46446,3928
01515,2,0,1,1
01516,27141,444,22656,4041
01519,13900,9142,1678,3080
01543,49443,1775,46268,1400
01544,28802,0,27244,1558
01545,32188,0,29492,2696
01546,19846,0,19064,782
01547,23458,0,22575,883
01549,21469,0,20711,758
01550,19037,0,17487,1550
01552,37582,0,34896,2686
01555,56779,960,52018,3801
01559,53166,0,51130,2036
01560,23696,69,21486,2141
01561,25751,0,23512,2239
01562,10536,0,9252,1284
01563,27357,644,24052,2661
01564,44435,0,41564,2871
01571,38174,3688,31369,3117
01575,22810,0,21237,1573
01578,46507,0,45438,1069
