code,total,ninni_zahyou,kokyo_zahyou,special_chiban
01,8214612,768707,6973823,472082
02,3181073,379470,2465397,336206
03,4557399,895101,3156670,505628
04,4197591,674288,3104440,418863
05,4712300,1857726,2118615,735959
06,4547089,2045946,1939511,561632
07,7648116,1830862,4986692,830562
08,6277982,2131759,3561871,584352
09,4812444,3388089,738937,685418
10,4577560,2481017,1683597,412946
11,7867064,5634582,1815373,417109
12,8433834,6959882,909976,563976
13,5517385,4790367,507337,219681
14,5995924,4658793,894445,442686
15,11299180,6634742,3430701,1233737
16,4210483,2857586,804532,548365
17,4780003,3195455,922461,662087
18,3359385,2260369,436524,662492
19,3155344,875688,1874491,405165
20,8684622,3905692,3791966,986964
21,6177470,4880282,902070,395118
22,7926729,4634878,2602541,689310
23,8812790,7705868,666422,440500
24,5620424,4101867,585971,932586
25,3166381,2298148,492017,376216
26,4421785,3254338,534216,633231
27,4800676,4203068,270004,327604
28,7839676,4607558,2256859,975259
29,2559254,1700776,575704,282774
30,2594729,875991,1406298,312440
31,2598023,1401304,769368,427351
32,4283228,1608909,1934366,739953
33,6530618,998810,4480478,1051330
34,7730891,3325957,3081674,1323260
35,4298137,1153528,2269627,874982
36,2679518,1188354,1063113,428051
37,2614568,511571,1602956,500041
38,4786246,969210,2912516,904520
39,4130023,2171318,1307280,651425
40,6467867,2239916,3439932,788019
41,2668143,73154,2197071,397918
42,4327736,1243468,2507602,576666
43,5007163,1130405,3329420,547338
44,4578490,2154337,1824981,599172
45,3756317,1263052,2052290,440975
46,6583051,983087,4841610,758354
47,2177272,45931,1971711,159630
